SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
000419.47-110536.0 1.2395 19.015 0.024 18.935 0.030 18.762 0.024 18.915 0.026 19.060 0.055  0.000 -9.000 -25.396
000421.02-003403.1 1.4603 19.129 0.034 18.951 0.024 18.836 0.018 18.687 0.020 18.743 0.038  0.000 -9.000 -26.007
000421.84+005743.6 0.7867 20.790 0.097 20.183 0.040 19.849 0.024 19.818 0.037 19.430 0.078  0.000 -9.000 -23.399
000422.29-090219.4 1.8588 18.456 0.032 18.424 0.022 18.462 0.016 18.218 0.020 18.063 0.039  0.000 -9.000 -27.049
000424.16-085048.0 2.4329 19.021 0.044 18.626 0.018 18.617 0.018 18.560 0.018 18.342 0.038  0.000 -9.000 -27.313
000429.18+003547.9 1.3021 21.293 0.118 20.879 0.041 20.429 0.032 20.226 0.046 20.387 0.160  0.000 -9.000 -24.238
000429.47-002142.7 0.6143 20.495 0.068 19.912 0.035 19.676 0.021 19.386 0.026 19.318 0.069  0.000 -9.000 -23.216
000431.05-100913.8 0.4521 19.812 0.048 19.089 0.028 18.875 0.023 18.605 0.027 18.329 0.038  0.000 -1.551 -23.269
000431.88+003155.1 1.4442 20.241 0.053 20.023 0.029 19.785 0.021 19.565 0.031 19.560 0.078  0.000 -9.000 -25.168
000433.93-004844.7 1.2946 20.617 0.087 20.030 0.040 19.328 0.022 19.052 0.025 19.087 0.060  0.000 -9.000 -25.364
000434.01-100452.4 1.0197 18.648 0.026 18.443 0.021 18.219 0.016 18.369 0.022 18.351 0.038  0.000 -9.000 -25.476
000435.75-011318.6 0.5074 19.094 0.029 18.856 0.024 18.892 0.019 18.697 0.022 18.643 0.048  0.000 -9.000 -23.442
000437.23+151028.3 3.1992 24.884 1.013 21.282 0.038 20.387 0.029 20.279 0.037 19.863 0.113 -1.000 -9.000 -26.238
000439.25-003145.5 1.8535 19.854 0.047 19.821 0.026 19.767 0.024 19.517 0.024 19.415 0.060  0.000 -9.000 -25.738
000439.97-000146.4 0.5827 20.890 0.083 20.458 0.032 20.128 0.034 19.881 0.032 19.687 0.075  0.000 -9.000 -22.608
