SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
000536.38+135949.4 3.6864 24.884 0.969 20.916 0.039 19.758 0.027 19.609 0.030 19.378 0.066 -1.000 -9.000 -27.377
000539.29-010243.8 0.8663 20.285 0.047 19.902 0.025 19.784 0.029 19.863 0.036 19.724 0.088  0.000 -9.000 -23.585
000541.88-010411.0 2.1178 19.949 0.044 19.680 0.038 19.499 0.028 19.455 0.028 19.280 0.068  0.000 -9.000 -26.109
000544.72-005706.6 2.1113 20.496 0.057 20.337 0.029 20.055 0.031 20.000 0.037 19.857 0.099  0.000 -9.000 -25.552
000545.61+153833.8 0.4414 17.866 0.028 17.658 0.023 17.674 0.014 17.566 0.019 17.412 0.020 -1.000 -9.000 -24.343
000546.46+002317.1 1.3531 20.887 0.081 20.338 0.022 20.021 0.029 19.975 0.038 19.996 0.124  0.000 -9.000 -24.606
000546.48-002413.9 1.7298 19.606 0.038 19.593 0.024 19.563 0.018 19.301 0.022 19.419 0.073  0.000 -9.000 -25.798
000548.24-084808.4 1.1898 17.950 0.034 17.860 0.035 17.612 0.019 17.621 0.022 17.716 0.027  0.000 -9.000 -26.590
000549.05-003435.5 1.6240 19.320 0.032 19.103 0.022 19.021 0.031 18.788 0.021 18.761 0.040  0.000 -9.000 -26.165
000549.80-110559.0 2.3262 19.622 0.041 19.181 0.032 19.157 0.023 19.141 0.024 19.104 0.058  0.000 -9.000 -26.635
000553.71-010117.7 0.6320 20.549 0.059 20.114 0.026 20.052 0.032 19.866 0.036 19.967 0.110  0.000 -9.000 -22.817
000557.24+002837.7 0.2595 18.598 0.024 18.591 0.024 18.414 0.023 18.372 0.027 17.869 0.049  0.000 -9.000 -22.211
000559.20+153125.1 0.4663 19.085 0.025 18.735 0.020 18.849 0.017 18.670 0.017 18.433 0.031 -1.000 -9.000 -23.352
000602.17-005358.1 1.8554 19.783 0.036 19.772 0.024 19.586 0.028 19.088 0.028 19.212 0.058  0.000 -9.000 -26.165
000604.97-011459.3 2.4993 21.383 0.159 20.542 0.035 20.156 0.032 20.331 0.046 20.145 0.142  0.000 -9.000 -25.612
000608.04-010700.7 0.9486 19.770 0.042 19.431 0.023 19.245 0.023 19.238 0.023 19.239 0.066 15.240 -9.000 -24.437
000610.07+002559.8 1.0264 20.705 0.072 20.327 0.031 20.045 0.030 19.990 0.040 19.679 0.100  0.000 -9.000 -23.929
000612.31-104310.6 1.7353 19.227 0.035 19.142 0.036 19.101 0.023 18.881 0.020 18.967 0.053  0.000 -9.000 -26.242
000613.84+001909.2 0.5523 21.205 0.102 20.701 0.028 20.352 0.035 19.918 0.039 19.660 0.089  0.000 -9.000 -22.520
000614.00+002605.0 2.5180 21.242 0.109 20.529 0.034 20.287 0.033 20.166 0.044 20.179 0.145  0.000 -9.000 -25.850
000617.07+135406.9 0.6043 20.428 0.054 19.774 0.020 19.570 0.017 19.200 0.018 19.204 0.053 -1.000 -9.000 -23.535
000618.27-100606.6 0.7186 18.869 0.030 18.486 0.020 18.437 0.016 18.462 0.026 18.422 0.042  0.000 -1.564 -24.536
000622.60-000424.4 1.0381 20.034 0.043 19.994 0.023 19.549 0.033 19.580 0.022 19.577 0.071  7.668 -1.611 -24.328
000623.57+144710.7 1.1287 19.719 0.033 19.507 0.020 19.236 0.016 19.179 0.025 19.173 0.057 -1.000 -9.000 -24.990
000625.25+154625.8 1.5200 24.102 0.791 23.042 0.171 20.731 0.035 19.732 0.027 19.262 0.059 -1.000 -9.000 -25.125
000627.03+160600.8 1.6781 19.346 0.030 19.186 0.019 19.213 0.018 18.967 0.023 19.062 0.054 -1.000 -9.000 -26.095
000629.29-093550.9 1.7582 18.851 0.028 18.769 0.015 18.731 0.020 18.397 0.017 18.442 0.042  0.000 -9.000 -26.750
000632.30+000707.3 0.9171 20.949 0.106 20.481 0.030 20.139 0.031 20.132 0.035 19.912 0.129  0.000 -9.000 -23.497
000637.88-001842.3 0.9892 19.681 0.040 19.646 0.019 19.443 0.028 19.554 0.030 19.337 0.072  0.000 -9.000 -24.217
000639.16+002821.0 2.2015 20.063 0.047 19.623 0.032 19.532 0.023 19.516 0.030 19.373 0.068  0.000 -9.000 -26.177
000639.20+142156.1 1.3920 19.001 0.027 18.683 0.025 18.277 0.015 18.086 0.017 17.968 0.028 -1.000 -9.000 -26.658
000640.47+004707.1 1.8475 20.007 0.039 19.973 0.029 19.970 0.026 19.698 0.027 19.815 0.080  0.000 -9.000 -25.557
000640.67+003838.2 1.3383 20.732 0.063 20.572 0.033 20.130 0.028 20.079 0.033 20.231 0.111  0.000 -9.000 -24.427
000645.41+000613.9 1.0308 20.750 0.094 20.176 0.026 19.810 0.028 19.827 0.029 19.527 0.091  0.000 -9.000 -24.080
000645.46+000059.6 1.5161 19.325 0.047 18.925 0.021 18.806 0.023 18.636 0.018 18.662 0.048  0.000 -9.000 -26.217
000645.48-085323.5 1.4057 19.344 0.037 19.518 0.026 19.257 0.019 19.117 0.029 19.096 0.066  0.000 -9.000 -25.502
000645.98-004840.1 1.9983 20.009 0.058 19.989 0.027 19.844 0.029 19.570 0.024 19.444 0.073  0.000 -9.000 -25.849
000648.73-094036.9 1.8350 19.753 0.047 19.648 0.019 19.392 0.022 18.963 0.019 18.895 0.060  0.000 -9.000 -26.289
000649.31+003925.3 1.5878 20.256 0.044 19.906 0.028 19.848 0.025 19.671 0.026 19.683 0.070  0.000 -9.000 -25.232
000653.31+000135.7 1.9425 21.131 0.123 20.638 0.032 20.474 0.037 20.268 0.038 19.801 0.117  0.000 -9.000 -25.152
000654.10-001533.4 1.7252 18.632 0.025 18.384 0.015 18.199 0.025 17.898 0.023 17.812 0.034  0.000 -9.000 -27.190
000654.13+141133.1 1.2987 20.325 0.058 19.943 0.023 19.469 0.022 19.297 0.019 19.111 0.050 -1.000 -9.000 -25.287
000654.40+141442.7 1.6359 19.848 0.042 19.469 0.021 19.418 0.022 19.209 0.019 19.115 0.050 -1.000 -9.000 -25.920
000655.61+150917.6 1.3995 19.936 0.041 19.554 0.017 19.388 0.020 19.202 0.021 19.135 0.059 -1.000 -9.000 -25.460
000657.63-010358.7 1.4358 20.310 0.067 20.255 0.029 19.835 0.031 19.786 0.034 19.710 0.090  0.000 -9.000 -24.873
000659.28-001740.8 2.0159 19.587 0.038 19.553 0.018 19.551 0.028 19.442 0.029 19.276 0.068  0.000 -9.000 -26.004
000701.04-004435.0 1.3650 20.811 0.105 20.802 0.037 20.290 0.035 20.328 0.040 20.362 0.154  0.000 -9.000 -24.206
000701.33+002242.3 0.8880 17.844 0.034 17.590 0.015 17.350 0.017 17.312 0.034 17.172 0.021  0.000 -9.000 -26.274
000709.92+001854.2 1.4309 18.770 0.037 18.591 0.016 18.380 0.018 18.212 0.034 18.236 0.031  0.000 -9.000 -26.556
000710.01+005329.1 0.3162 17.802 0.018 17.563 0.036 17.306 0.021 17.386 0.019 16.542 0.016 15.924 -0.981 -23.620
000716.99-004056.4 1.2596 20.454 0.082 20.107 0.030 19.462 0.036 19.298 0.022 19.160 0.057  0.000 -9.000 -25.047
000717.73-002811.3 1.8856 21.447 0.142 21.251 0.046 21.018 0.046 20.680 0.046 20.325 0.129 13.920 -9.000 -24.610
000717.82-005137.7 0.5260 19.869 0.041 19.553 0.026 19.631 0.022 19.366 0.023 19.161 0.052  0.000 -1.483 -22.867
000724.08+151657.6 2.0636 19.226 0.029 19.026 0.017 18.894 0.018 18.779 0.018 18.591 0.042 -1.000 -9.000 -26.796
000724.67-005106.0 1.4123 20.245 0.049 20.290 0.031 20.088 0.026 20.036 0.032 20.228 0.124  0.000 -9.000 -24.586
000725.18+003645.0 2.0335 19.519 0.052 19.325 0.020 19.149 0.025 18.976 0.028 18.808 0.045  0.000 -9.000 -26.513
000729.17+145811.1 1.1379 18.833 0.021 18.527 0.023 18.176 0.015 18.080 0.024 18.041 0.029 -1.000 -9.000 -26.088
000730.82+160732.5 3.5014 25.195 0.872 21.279 0.041 20.113 0.025 19.789 0.031 19.361 0.071 -1.000 -9.000 -26.920
000735.52-085435.1 1.7778 19.457 0.041 19.456 0.020 19.493 0.026 19.140 0.022 19.110 0.069  0.000 -9.000 -26.028
000735.99-010056.5 1.2810 20.820 0.069 20.345 0.032 19.902 0.024 19.776 0.029 19.763 0.087  0.000 -9.000 -24.606
000737.13+002003.2 1.1003 20.070 0.047 19.716 0.019 19.229 0.019 19.114 0.048 19.112 0.055  0.000 -9.000 -24.978
000738.53+005835.4 1.8458 19.674 0.045 19.792 0.028 19.695 0.021 19.528 0.034 19.418 0.080  0.000 -9.000 -25.711
000739.54-000519.8 1.9023 20.441 0.055 20.334 0.042 20.365 0.029 20.025 0.034 19.768 0.083  0.000 -9.000 -25.372
000741.86-085230.1 1.5110 20.165 0.067 19.763 0.025 19.668 0.027 19.242 0.026 19.191 0.073  0.000 -9.000 -25.545
000741.92-102223.1 1.2635 19.463 0.055 19.053 0.026 18.924 0.016 19.007 0.019 19.032 0.059  0.000 -9.000 -25.349
000743.78-002432.4 1.5400 18.412 0.023 18.217 0.020 18.097 0.021 17.943 0.032 18.030 0.033  0.000 -9.000 -26.895
000744.61-005451.3 1.2675 19.756 0.037 19.870 0.028 19.551 0.022 19.493 0.024 19.584 0.072  0.000 -9.000 -24.871
000748.29+151746.0 1.2398 19.709 0.035 19.396 0.019 18.908 0.019 18.772 0.020 18.777 0.047 -1.000 -9.000 -25.615
000748.54-000350.2 1.2341 19.319 0.029 19.078 0.039 18.696 0.018 18.723 0.025 18.781 0.039  0.000 -9.000 -25.651
000749.16+004119.6 4.7834 24.704 0.891 24.906 0.508 21.518 0.064 20.074 0.034 20.060 0.096  0.000 -9.000 -27.295
000750.05-000914.7 0.7993 19.406 0.030 19.146 0.039 19.090 0.019 19.218 0.027 19.055 0.048  0.000 -9.000 -24.093
000752.56+002110.2 1.2703 19.157 0.028 19.014 0.016 18.638 0.024 18.617 0.015 18.684 0.039  0.000 -9.000 -25.796
000754.23-010453.9 0.9163 20.743 0.085 20.138 0.035 19.887 0.034 19.560 0.032 19.164 0.058  0.000 -9.000 -24.019
000754.53-110033.9 1.6761 19.548 0.043 19.426 0.024 19.324 0.022 19.102 0.026 19.204 0.075  0.000 -9.000 -25.923
000754.85-004003.6 0.5731 20.267 0.074 19.892 0.023 19.968 0.038 19.758 0.033 19.712 0.089  0.000 -9.000 -22.688
000754.99-010206.6 1.5840 20.595 0.061 20.116 0.032 19.839 0.019 19.529 0.029 19.398 0.066  0.000 -9.000 -25.357
000759.40+150822.6 1.9680 19.426 0.032 19.412 0.019 19.350 0.019 18.961 0.019 18.730 0.043 -1.000 -9.000 -26.481
000800.06-000021.3 0.7586 19.615 0.033 19.313 0.026 19.152 0.020 19.025 0.025 18.952 0.043  0.000 -9.000 -24.166
000801.72+004613.3 1.9162 21.510 0.114 20.954 0.035 20.463 0.032 20.013 0.032 19.771 0.076  0.000 -9.000 -25.330
000802.22+152408.8 1.4321 19.669 0.032 19.559 0.033 19.235 0.074 19.144 0.086 19.132 0.058 -1.000 -9.000 -25.604
000803.87-003939.0 2.0930 20.589 0.088 20.440 0.029 20.429 0.043 20.300 0.044 19.936 0.105  0.000 -9.000 -25.237
000804.22-003922.9 1.6080 20.588 0.092 20.265 0.027 20.149 0.039 19.865 0.035 19.928 0.104  0.000 -9.000 -25.062
000805.18-003946.7 1.9248 20.522 0.088 20.491 0.030 20.523 0.044 20.208 0.042 19.839 0.097  0.000 -9.000 -25.137
000805.40-001001.7 0.7336 19.084 0.026 18.678 0.025 18.688 0.020 18.627 0.023 18.506 0.032  0.000 -9.000 -24.462
000807.28-103942.8 2.4585 19.463 0.035 19.111 0.035 18.975 0.018 18.981 0.022 18.989 0.061  0.000 -9.000 -26.926
000807.53+001619.0 1.4780 19.090 0.027 19.074 0.016 18.858 0.025 18.652 0.016 18.589 0.036  0.000 -9.000 -26.129
000808.94-104312.3 1.4369 20.564 0.076 20.419 0.041 20.276 0.031 20.187 0.038 20.068 0.140  0.000 -9.000 -24.480
000809.19+152943.4 0.7566 19.027 0.025 18.655 0.026 18.537 0.016 18.514 0.017 18.405 0.034 -1.000 -9.000 -24.690
000812.29+001312.4 1.0510 20.339 0.055 19.944 0.020 19.596 0.027 19.531 0.023 19.403 0.067  0.000 -9.000 -24.449
000814.45+150946.9 1.0324 19.684 0.037 19.289 0.017 18.960 0.021 19.044 0.023 19.126 0.059 -1.000 -9.000 -24.877
000815.33-095854.3 1.9498 19.213 0.031 18.847 0.028 18.383 0.016 18.001 0.019 17.934 0.028  0.000 -9.000 -27.384
000815.53-110137.0 1.3620 19.436 0.038 19.383 0.033 19.094 0.020 19.066 0.022 19.086 0.064  0.000 -9.000 -25.470
000815.68+004516.1 1.0933 20.042 0.041 19.973 0.025 19.603 0.023 19.646 0.025 19.791 0.076  0.000 -9.000 -24.370
000819.80-095430.2 1.4579 19.656 0.038 19.519 0.030 19.394 0.019 19.270 0.024 19.347 0.085  0.000 -9.000 -25.444
000820.02-092921.0 1.3576 19.065 0.025 18.949 0.033 18.615 0.019 18.550 0.025 18.454 0.040  0.000 -9.000 -25.989
000822.06-002302.7 3.0641 21.392 0.138 20.083 0.025 19.771 0.025 19.533 0.033 19.594 0.087  0.000 -9.000 -26.918
000822.83-111010.6 1.4451 19.740 0.042 19.608 0.020 19.480 0.018 19.407 0.026 19.615 0.096 12.187 -9.000 -25.264
000825.75-095143.0 0.5536 19.478 0.048 19.108 0.017 19.228 0.017 18.992 0.019 19.027 0.065  0.000 -9.000 -23.388
000826.34-103825.9 1.5748 19.511 0.039 19.493 0.028 19.487 0.019 19.205 0.024 19.227 0.069  0.000 -9.000 -25.672
000827.70+011452.1 1.2938 20.285 0.051 20.230 0.025 19.869 0.027 19.835 0.044 19.802 0.093  0.000 -9.000 -24.553
000829.77-000704.1 1.6481 19.531 0.035 19.195 0.021 19.173 0.019 18.975 0.026 18.919 0.042  0.000 -9.000 -26.084
000834.71+003156.1 0.2630 17.785 0.016 17.611 0.024 17.440 0.019 17.484 0.026 17.260 0.026  0.000 -9.000 -23.100
000838.29-005156.8 2.8892 21.174 0.093 19.661 0.026 19.639 0.020 19.670 0.036 19.494 0.066  0.000 -9.000 -26.582
000839.31-005336.8 2.6190 20.133 0.044 19.381 0.025 19.341 0.018 19.305 0.033 19.012 0.046  0.000 -9.000 -26.727
000840.63+011419.1 1.0730 20.793 0.074 20.469 0.028 20.197 0.031 20.040 0.055 20.000 0.111  0.000 -9.000 -23.901
000842.70+144108.5 0.7394 19.446 0.035 18.912 0.014 18.658 0.015 18.642 0.017 18.457 0.034 -1.000 -9.000 -24.491
000844.70+002550.5 2.1224 19.664 0.036 19.309 0.026 19.134 0.021 19.143 0.031 18.956 0.051  0.000 -9.000 -26.446
000846.69+001725.4 1.6863 19.862 0.041 19.620 0.020 19.377 0.024 19.036 0.021 18.966 0.054  0.000 -9.000 -26.037
000848.44-000717.7 1.5652 20.994 0.083 20.678 0.031 20.518 0.032 20.213 0.038 20.270 0.124  0.000 -9.000 -24.731
000849.23-084956.7 2.5944 21.977 0.277 20.618 0.034 20.275 0.036 20.179 0.049 19.520 0.100  0.000 -9.000 -25.847
000856.79+155045.7 1.6909 19.283 0.032 19.079 0.018 18.963 0.013 18.718 0.021 18.598 0.037 -1.000 -9.000 -26.418
000859.18+011351.1 0.2868 19.459 0.032 19.031 0.019 18.477 0.022 18.373 0.034 17.797 0.024  0.000 -9.000 -22.379
000900.87-084618.8 1.6165 19.912 0.054 19.539 0.025 19.321 0.026 19.084 0.024 19.110 0.068  0.000 -9.000 -25.857
000901.01-000306.7 0.7117 20.584 0.061 19.990 0.024 20.024 0.025 19.951 0.033 19.794 0.083  0.000 -9.000 -23.087
000901.38+153947.9 1.2436 19.870 0.037 19.437 0.023 18.954 0.015 18.856 0.020 18.892 0.043 -1.000 -9.000 -25.546
000904.41-004332.8 1.8286 18.674 0.029 18.779 0.024 18.770 0.032 18.404 0.029 18.311 0.034  0.000 -9.000 -26.826
000904.54-103428.7 0.2408 17.838 0.020 17.808 0.028 17.801 0.016 17.567 0.032 17.621 0.024  0.000 -1.068 -22.795
000905.00+141228.9 1.5180 19.753 0.039 19.487 0.019 19.321 0.017 19.061 0.023 19.098 0.050 -1.000 -9.000 -25.874
000905.36-001126.6 1.1790 20.270 0.052 20.480 0.029 19.971 0.021 19.878 0.032 20.101 0.109  0.000 -9.000 -24.373
000906.93+003252.6 2.6255 22.094 0.224 20.359 0.032 20.221 0.040 20.127 0.041 19.838 0.097  0.000 -9.000 -25.914
000910.85+004028.6 1.7869 19.750 0.033 19.765 0.019 19.643 0.029 19.373 0.020 19.361 0.056  0.000 -9.000 -25.784
000912.07+005818.2 2.6779 20.953 0.102 20.172 0.026 20.133 0.032 20.165 0.043 19.808 0.106  0.000 -9.000 -25.910
000912.17+002413.3 2.4946 19.305 0.032 18.579 0.026 18.186 0.018 18.123 0.014 17.932 0.028  0.000 -9.000 -27.827
000912.69+010919.0 2.4708 19.916 0.039 19.366 0.026 19.171 0.035 19.203 0.026 19.065 0.050  0.000 -9.000 -26.685
000912.89+000504.4 1.7369 17.975 0.016 17.695 0.014 17.577 0.023 17.338 0.022 17.451 0.028  0.000 -9.000 -27.794
000913.76-095754.5 2.0688 19.640 0.047 19.242 0.018 18.847 0.019 18.677 0.019 18.403 0.043 16.107 -9.000 -26.852
000913.79-101246.7 0.6144 19.694 0.039 19.191 0.026 19.279 0.019 18.998 0.023 18.999 0.055  0.000 -9.000 -23.620
000917.68-001344.8 1.5357 20.444 0.063 20.214 0.029 20.074 0.038 19.687 0.040 20.244 0.137  0.000 -9.000 -25.177
000919.26+152355.1 1.9349 19.845 0.039 19.628 0.016 19.565 0.018 19.323 0.023 19.270 0.070 -1.000 -9.000 -26.096
000920.01+005618.4 2.3863 21.069 0.112 20.473 0.029 20.353 0.036 20.279 0.046 20.163 0.141  0.000 -9.000 -25.538
000921.64-095949.1 1.5356 19.507 0.042 19.199 0.030 19.095 0.023 18.852 0.022 19.064 0.059  0.000 -9.000 -25.981
000922.19+000555.6 1.9968 21.120 0.113 20.788 0.031 20.620 0.040 20.480 0.049 20.033 0.133  0.000 -9.000 -24.963
000922.40-084839.6 2.3464 19.714 0.047 19.166 0.024 19.001 0.025 19.014 0.023 18.791 0.052  0.000 -9.000 -26.789
000926.89-110805.1 0.4226 19.413 0.035 19.331 0.026 19.160 0.021 19.013 0.026 18.749 0.051 16.043 -9.000 -22.692
000927.60+011055.7 1.6703 19.191 0.023 19.015 0.025 19.059 0.035 18.902 0.024 18.860 0.044  0.000 -9.000 -26.089
000933.33+004414.7 0.9481 20.695 0.061 20.333 0.023 20.004 0.032 20.012 0.031 19.845 0.084  0.000 -9.000 -23.630
000938.48-003949.7 2.2539 20.144 0.063 19.790 0.030 19.714 0.028 19.632 0.032 19.259 0.061  0.000 -9.000 -26.100
000943.14-090839.2 0.2096 17.445 0.017 17.393 0.016 17.291 0.014 16.925 0.014 17.009 0.019  0.000 -1.543 -23.121
000943.36+010459.8 0.4557 19.781 0.039 19.516 0.028 19.571 0.022 19.152 0.023 18.953 0.044  0.000 -1.564 -22.711
000944.92-085001.1 1.6140 20.256 0.065 19.838 0.025 19.536 0.024 19.207 0.026 19.164 0.070  0.000 -9.000 -25.739
000945.46+001337.0 0.6976 18.961 0.027 18.529 0.022 18.538 0.023 18.503 0.019 18.428 0.038  0.000 -9.000 -24.414
000949.10-105810.8 2.0700 18.593 0.045 18.613 0.026 18.559 0.024 18.469 0.021 18.263 0.036  0.000 -9.000 -27.050
000950.51+141002.1 3.1515 20.993 0.096 19.085 0.022 18.834 0.017 18.943 0.021 18.832 0.040 -1.000 -9.000 -27.588
000952.42+010717.7 1.0233 21.096 0.095 20.889 0.038 20.530 0.034 20.639 0.054 20.378 0.151  0.000 -9.000 -23.188
000954.53-091351.7 1.1676 19.608 0.038 19.455 0.028 19.191 0.019 19.222 0.030 19.248 0.067  0.000 -9.000 -24.947
000955.62+151022.7 0.7266 19.665 0.033 19.457 0.017 19.507 0.024 19.629 0.023 19.426 0.077 -1.000 -9.000 -23.446
001000.29-000901.8 1.4292 19.223 0.030 19.085 0.030 18.952 0.028 18.865 0.020 18.907 0.044  0.000 -9.000 -25.802
001001.02-090519.2 3.7185 26.545 0.472 23.131 0.235 20.153 0.028 20.508 0.053 20.610 0.259  0.000 -9.000 -26.313
001002.04+004224.5 1.2116 19.838 0.040 19.378 0.018 18.967 0.026 18.866 0.016 18.849 0.039  0.000 -9.000 -25.368
001002.84+010407.5 1.4457 20.218 0.050 20.116 0.030 20.046 0.026 19.970 0.033 19.962 0.103  0.000 -9.000 -24.681
001002.96-010107.2 0.5542 19.802 0.037 19.236 0.027 19.000 0.027 18.703 0.017 18.764 0.042 16.124 -9.000 -23.650
001004.96-004906.8 1.9748 20.525 0.086 20.449 0.032 20.417 0.039 20.259 0.043 20.139 0.127  0.000 -9.000 -25.149
001005.04+005141.4 1.6711 21.886 0.221 20.961 0.043 20.387 0.042 19.847 0.034 19.491 0.079  0.000 -9.000 -25.144
001007.02+002947.2 1.7318 20.440 0.067 20.548 0.033 20.518 0.034 20.336 0.045 20.497 0.170  0.000 -9.000 -24.750
001007.59-111222.7 0.4694 19.683 0.040 19.483 0.023 19.489 0.021 19.263 0.026 18.886 0.057  0.000 -9.000 -22.696
001008.02+004018.2 1.8919 20.405 0.054 20.221 0.023 20.118 0.032 19.885 0.027 19.854 0.084  0.000 -9.000 -25.401
001010.03+005126.6 0.3870 19.540 0.035 19.341 0.029 18.842 0.031 18.683 0.021 18.366 0.038  0.000 -9.000 -22.786
001015.14-095623.2 2.1106 20.277 0.060 20.080 0.023 19.992 0.032 19.832 0.034 19.546 0.107  0.000 -9.000 -25.733
001016.22+004713.3 1.1810 19.825 0.041 19.843 0.028 19.668 0.020 19.702 0.025 19.947 0.090  0.000 -9.000 -24.468
001016.49+001227.6 2.2762 19.418 0.033 18.799 0.021 18.529 0.024 18.449 0.021 18.284 0.034  0.000 -9.000 -27.275
001017.51-100238.8 1.8190 19.394 0.037 19.263 0.028 19.234 0.016 18.925 0.022 18.837 0.055  0.000 -9.000 -26.294
001017.80+010450.7 1.8180 19.471 0.033 19.134 0.019 18.836 0.018 18.393 0.014 18.393 0.030  0.000 -9.000 -26.798
001018.27+143338.8 0.9011 19.229 0.038 19.137 0.021 19.072 0.027 19.172 0.023 19.088 0.049 -1.000 -9.000 -24.434
001018.30-011004.3 1.7782 19.844 0.043 19.602 0.038 19.565 0.023 19.318 0.025 19.391 0.065  0.000 -9.000 -25.833
001018.56-005810.3 0.6269 19.656 0.035 19.150 0.029 19.123 0.020 18.941 0.023 19.082 0.050  0.000 -9.000 -23.719
001020.24-103059.1 1.7425 19.879 0.058 19.630 0.020 19.359 0.023 19.033 0.021 18.982 0.055  0.000 -9.000 -26.081
001020.28-000738.8 2.1546 19.536 0.031 19.432 0.033 19.435 0.023 19.252 0.023 19.018 0.048  0.000 -9.000 -26.360
001021.16-102546.2 1.6067 20.561 0.094 20.228 0.025 20.002 0.028 19.713 0.028 19.696 0.096 14.497 -9.000 -25.218
001022.13-002216.7 0.8589 20.293 0.057 19.868 0.026 19.703 0.022 19.648 0.029 19.373 0.069  0.000 -9.000 -23.797
001022.14-003701.1 3.1520 21.746 0.177 18.732 0.019 18.398 0.015 18.299 0.018 18.267 0.027  0.000 -9.000 -28.192
001023.93+010039.4 1.3826 19.876 0.045 19.677 0.030 19.463 0.033 19.347 0.026 19.443 0.081  0.000 -9.000 -25.201
001024.18-005526.1 1.9318 20.013 0.041 20.043 0.032 20.011 0.025 19.788 0.030 19.654 0.077  0.000 -9.000 -25.565
001024.22+153331.3 0.7285 17.664 0.017 17.422 0.013 17.347 0.018 17.294 0.017 17.216 0.024 -1.000 -9.000 -25.810
001025.90+005447.6 2.8473 21.346 0.142 19.150 0.029 19.093 0.032 18.944 0.022 18.758 0.048  0.000 -9.000 -27.263
001026.50+001532.0 2.3998 20.450 0.059 19.836 0.022 19.827 0.022 19.868 0.028 19.641 0.087  0.000 -9.000 -25.978
001027.42+002932.7 1.2139 20.547 0.065 20.408 0.031 20.085 0.026 20.074 0.037 19.876 0.099  0.000 -9.000 -24.174
001029.91-101145.5 1.7516 19.149 0.034 19.201 0.028 19.126 0.016 18.825 0.021 18.796 0.054  0.000 -9.000 -26.306
001030.55+010006.0 0.3780 18.417 0.020 17.836 0.027 17.508 0.030 17.397 0.018 16.847 0.026  0.000 -9.000 -24.018
001033.34-095453.2 1.5500 19.385 0.036 19.183 0.019 19.144 0.027 18.948 0.025 18.970 0.067  0.000 -9.000 -25.898
001034.61-095723.7 2.0294 19.269 0.033 19.010 0.017 18.993 0.027 19.005 0.025 18.899 0.062  0.000 -9.000 -26.466
001038.88-005143.8 1.5169 20.387 0.051 20.390 0.036 20.089 0.026 19.857 0.030 19.684 0.078  0.000 -9.000 -24.938
001039.86-110614.2 1.0752 20.103 0.052 19.738 0.042 19.346 0.021 19.265 0.031 19.252 0.074  0.000 -9.000 -24.708
001043.84-001729.6 1.2960 20.292 0.057 20.343 0.028 20.099 0.027 19.934 0.037 20.189 0.133  0.000 -9.000 -24.487
001044.42+003344.7 2.5514 21.448 0.126 20.608 0.038 20.653 0.038 20.780 0.064 20.178 0.133  0.000 -9.000 -25.187
001047.46+001900.3 0.7481 19.053 0.027 18.806 0.020 18.813 0.017 18.805 0.020 18.793 0.044  0.000 -1.739 -24.282
001047.99-001830.1 0.8927 21.400 0.133 20.976 0.038 20.816 0.042 20.858 0.069 20.597 0.189  0.000 -9.000 -22.666
001049.30-093906.4 1.5021 19.622 0.042 19.392 0.020 19.288 0.018 19.136 0.031 19.020 0.065  0.000 -9.000 -25.629
001050.95-003133.2 2.0530 19.446 0.031 19.583 0.026 19.531 0.022 19.249 0.028 18.969 0.044  0.000 -9.000 -26.278
001053.56+000642.9 1.8734 19.753 0.042 19.636 0.032 19.463 0.027 18.978 0.035 18.908 0.056  0.000 -9.000 -26.298
001054.40-085438.6 1.7457 18.011 0.027 17.998 0.030 17.847 0.017 17.542 0.017 17.490 0.031  0.000 -9.000 -27.586
001055.00+155511.3 0.3094 19.266 0.029 19.058 0.022 18.794 0.017 18.777 0.017 18.085 0.033 -1.000 -9.000 -22.236
001055.41+003032.2 1.2331 19.847 0.041 19.967 0.032 19.556 0.021 19.518 0.025 19.533 0.080  0.000 -9.000 -24.764
001056.54+002804.1 1.4217 19.744 0.040 19.708 0.031 19.481 0.021 19.372 0.023 19.329 0.069  0.000 -9.000 -25.249
001057.59+011011.5 3.1064 22.436 0.303 19.368 0.021 18.832 0.016 18.705 0.023 18.562 0.034  0.000 -9.000 -27.706
001100.24-093903.5 1.5711 20.498 0.076 20.367 0.028 20.328 0.031 20.221 0.046 20.259 0.187  0.000 -9.000 -24.650
001100.31+134812.2 0.6860 19.306 0.028 18.959 0.019 18.795 0.014 18.678 0.017 18.591 0.033 -1.000 -9.000 -24.264
001100.87-001532.1 0.8925 20.688 0.075 20.346 0.027 20.190 0.028 20.054 0.039 19.839 0.099  0.000 -9.000 -23.455
001103.18+005927.2 0.4863 20.107 0.054 19.797 0.024 19.925 0.027 19.696 0.032 19.534 0.095  0.000 -9.000 -22.329
001104.84-092357.8 0.6960 18.830 0.040 18.523 0.024 18.469 0.024 18.414 0.025 18.368 0.035  0.000 -9.000 -24.503
001105.57+002653.5 0.4546 21.235 0.108 20.537 0.037 20.194 0.030 19.735 0.029 19.264 0.066  0.000 -9.000 -22.132
001106.59-092815.1 1.1293 18.556 0.038 18.277 0.024 17.962 0.023 17.937 0.024 17.922 0.026  0.000 -9.000 -26.151
